"type","acct_num","action_type","currency","transaction_type","transaction_reference","debit","credit"
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"53646d1f-27f7-45a4-a22c-50c03e040eaa",0,879
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"9f273080-a13b-455b-a35f-d7150ecca8f4",0,879
Chargeback,"2100",firstChargeback-dms,GBP,purchase,cfe6b21f-1511-441b-8cdb-29324b66619b,0,703
Chargeback,"2100",firstChargeback-dms,GBP,purchase,d55a9610-b02b-4218-9a0e-099528d5fa24,0,351
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"925cdab5-f2f3-4974-8e4c-24f13744974b",0,292
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"4eeabdc7-f7c2-4c20-ae75-1f5bcdd05266",0,263
Chargeback,"2100",firstChargeback-dms,EUR,purchase,"34206b55-c550-4ec0-87ab-07f29597a0e1",0,15
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,bc76ecf8-8664-47b6-bdba-f0ec0639fc10,0,23
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,"32873fb2-e0fc-4642-acf9-304904e28c0c",0,23
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,ee682f8b-7342-4654-af59-9f121401dc20,0,15
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,"7298d87b-999d-4e87-adea-9fafaf55a83d",0,126
Collaboration Refund,"2100",firstChargeback-dms,EUR,purchase,b83c1254-0202-4d9e-9204-a536a3336ddf,0,20
Chargeback,"2100",firstChargeback-dms,EUR,purchase,"05f45eb9-98a8-4357-9bbf-17f4f59922fe",0,19
Second Presentment,"2100",secondPresentment-dms,GBP,purchase,"96c6349f-345a-4915-9fca-6324f50b0a39",87,0
Second Presentment,"2100",secondPresentment-dms,GBP,purchase,c97f6838-aa7e-4414-8aab-77ecb5e55853,109,0
Second Presentment,"2100",secondPresentment-dms,GBP,purchase,"2b52a12d-752e-4036-8f1a-6ce8b5fb1b55",86,0
Second Presentment,"2100",secondPresentment-dms,GBP,purchase,"431e8363-53fa-48e4-a45f-b39f17e4536a",87,0
Chargeback,"2100",firstChargeback-dms,GBP,purchase,b98a22ec-cbc0-440f-b327-e5aabcc1f33e,0,84
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"10172f1a-4fd0-45cc-869b-2db15b743b83",0,86
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"73f64e1f-eae8-482d-9ac2-3a44103649a1",0,97
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"7dde8813-ac6b-4e5c-ba2a-eec45fd6f233",0,86
Chargeback,"2100",firstChargeback-dms,GBP,purchase,"7a0a8fcc-8839-49d2-b081-af4758d0b10b",0,106
